typename,code,institution,specialty,Type,program,quota,matched
Anesthesiology,1511040A0,1511,40,A,0,6,6
Anesthesiology,1516040A0,1516,40,A,0,5,5
Anesthesiology,1529040A0,1529,40,A,0,6,6
Anesthesiology,1537040A0,1537,40,A,0,1,1
Anesthesiology,1553040A0,1553,40,A,0,6,6
Anesthesiology,1566040A0,1566,40,A,0,5,5
Anesthesiology,1579040A0,1579,40,A,0,1,1
Anesthesiology,1599040A0,1599,40,A,0,9,9
Anesthesiology,1599040A1,1599,40,A,1,3,3
Anesthesiology,1617040A0,1617,40,A,0,4,3
Anesthesiology,1628040A0,1628,40,A,0,5,5
Anesthesiology,1630040A0,1630,40,A,0,12,12
Anesthesiology,1646040A0,1646,40,A,0,6,6
Anesthesiology,1649040A0,1649,40,A,0,5,5
Anesthesiology,1652040A0,1652,40,A,0,6,6
Anesthesiology,1659040A0,1659,40,A,0,8,8
Anesthesiology,1680040A0,1680,40,A,0,2,0
Anesthesiology,1702040A0,1702,40,A,0,1,1
Anesthesiology,1716040A0,1716,40,A,0,1,1
Anesthesiology,1732040A0,1732,40,A,0,12,12
Anesthesiology,1734040A0,1734,40,A,0,5,5
Anesthesiology,1737040A0,1737,40,A,0,5,5
Anesthesiology,1756040A0,1756,40,A,0,4,4
Anesthesiology,1784040A0,1784,40,A,0,2,2
Anesthesiology,1801040A0,1801,40,A,0,6,6
Anesthesiology,1802040A0,1802,40,A,0,6,6
Anesthesiology,1820040A0,1820,40,A,0,22,22
Anesthesiology,1824040A0,1824,40,A,0,8,8
Anesthesiology,1837040A0,1837,40,A,0,1,1
Anesthesiology,1839040A0,1839,40,A,0,6,6
Anesthesiology,1849040A0,1849,40,A,0,3,3
Anesthesiology,1900040A0,1900,40,A,0,2,2
Anesthesiology,1918040A0,1918,40,A,0,6,6
Anesthesiology,1962040A0,1962,40,A,0,0,0
Anesthesiology,1994040A0,1994,40,A,0,1,1
Anesthesiology,2070040A0,2070,40,A,0,10,10
Anesthesiology,2247040A0,2247,40,A,0,10,10
Anesthesiology,2918040A0,2918,40,A,0,9,9
Anesthesiology,2923040A0,2923,40,A,0,10,10
Anesthesiology,2978040A0,2978,40,A,0,18,18
Anesthesiology,2998040A0,2998,40,A,0,5,5
Anesthesiology,3050040A0,3050,40,A,0,5,5
Anesthesiology,3153040A0,3153,40,A,0,15,15
Anesthesiology,3200040A0,3200,40,A,0,3,3
Anesthesiology,1018040C0,1018,40,C,0,14,14
Anesthesiology,1030040C0,1030,40,C,0,4,4
Anesthesiology,1062040C0,1062,40,C,0,8,8
Anesthesiology,1104040C3,1104,40,C,3,17,17
Anesthesiology,1116040C0,1116,40,C,0,3,2
Anesthesiology,1127040C0,1127,40,C,0,2,2
Anesthesiology,1137040C0,1137,40,C,0,2,2
Anesthesiology,1147040C0,1147,40,C,0,8,8
Anesthesiology,1150040C0,1150,40,C,0,12,12
Anesthesiology,1160040C0,1160,40,C,0,7,7
Anesthesiology,1170040C0,1170,40,C,0,8,8
Anesthesiology,1187040C0,1187,40,C,0,3,3
Anesthesiology,1203040C0,1203,40,C,0,10,10
Anesthesiology,1217040C0,1217,40,C,0,10,10
Anesthesiology,1232040C0,1232,40,C,0,5,4
Anesthesiology,1236040C0,1236,40,C,0,5,5
Anesthesiology,1242040C0,1242,40,C,0,2,2
Anesthesiology,1242040C1,1242,40,C,1,2,2
Anesthesiology,1261040C0,1261,40,C,0,5,5
Anesthesiology,1286040C0,1286,40,C,0,3,3
Anesthesiology,1293040C0,1293,40,C,0,24,17
Anesthesiology,1295040C0,1295,40,C,0,10,10
Anesthesiology,1300040C0,1300,40,C,0,6,6
Anesthesiology,1328040C0,1328,40,C,0,9,9
Anesthesiology,1334040C0,1334,40,C,0,3,2
Anesthesiology,1343040C0,1343,40,C,0,6,6
Anesthesiology,1353040C0,1353,40,C,0,12,12
Anesthesiology,1365040C0,1365,40,C,0,10,10
Anesthesiology,1377040C0,1377,40,C,0,5,5
Anesthesiology,1396040C0,1396,40,C,0,4,4
Anesthesiology,1414040C0,1414,40,C,0,6,6
Anesthesiology,1426040C0,1426,40,C,0,10,8
Anesthesiology,1492040C0,1492,40,C,0,18,18
Anesthesiology,1495040C0,1495,40,C,0,8,8
Anesthesiology,1500040C0,1500,40,C,0,5,5
Anesthesiology,1511040C0,1511,40,C,0,7,7
Anesthesiology,1516040C0,1516,40,C,0,3,3
Anesthesiology,1529040C0,1529,40,C,0,8,8
Anesthesiology,1537040C0,1537,40,C,0,12,12
Anesthesiology,1548040C0,1548,40,C,0,6,5
Anesthesiology,1552040C0,1552,40,C,0,12,12
Anesthesiology,1566040C0,1566,40,C,0,7,7
Anesthesiology,1579040C0,1579,40,C,0,4,4
Anesthesiology,1588040C0,1588,40,C,0,8,8
Anesthesiology,1617040C0,1617,40,C,0,12,12
Anesthesiology,1628040C0,1628,40,C,0,16,16
Anesthesiology,1652040C0,1652,40,C,0,9,9
Anesthesiology,1680040C0,1680,40,C,0,9,9
Anesthesiology,1702040C0,1702,40,C,0,14,14
Anesthesiology,1714040C0,1714,40,C,0,14,14
Anesthesiology,1716040C0,1716,40,C,0,10,10
Anesthesiology,1722040C0,1722,40,C,0,12,12
Anesthesiology,1725040C0,1725,40,C,0,8,8
Anesthesiology,1737040C0,1737,40,C,0,9,9
Anesthesiology,1743040C0,1743,40,C,0,8,8
Anesthesiology,1756040C0,1756,40,C,0,3,3
Anesthesiology,1779040C0,1779,40,C,0,8,8
Anesthesiology,1784040C0,1784,40,C,0,11,11
Anesthesiology,1824040C0,1824,40,C,0,8,8
Anesthesiology,1837040C0,1837,40,C,0,2,2
Anesthesiology,1848040C0,1848,40,C,0,12,12
Anesthesiology,1849040C0,1849,40,C,0,4,4
Anesthesiology,1900040C0,1900,40,C,0,10,10
Anesthesiology,1918040C0,1918,40,C,0,13,13
Anesthesiology,1956040C0,1956,40,C,0,21,21
Anesthesiology,1957040C0,1957,40,C,0,7,7
Anesthesiology,1962040C0,1962,40,C,0,7,7
Anesthesiology,1966040C0,1966,40,C,0,7,7
Anesthesiology,1968040C0,1968,40,C,0,20,20
Anesthesiology,1985040C0,1985,40,C,0,6,6
Anesthesiology,1994040C0,1994,40,C,0,2,2
Anesthesiology,2247040C0,2247,40,C,0,11,11
Anesthesiology,2835040C0,2835,40,C,0,15,15
Anesthesiology,2919040C0,2919,40,C,0,10,9
Anesthesiology,2923040C0,2923,40,C,0,10,10
Anesthesiology,2973040C0,2973,40,C,0,4,1
Anesthesiology,3054040C0,3054,40,C,0,4,4
Anesthesiology,3073040C0,3073,40,C,0,5,5
Anesthesiology,3099040C0,3099,40,C,0,8,8
Anesthesiology,1113040P0,1113,40,P,0,3,3
Anesthesiology,1030040R0,1030,40,R,0,1,1
Dermatology,1007080A0,1007,80,A,0,3,3
Dermatology,1024080A0,1024,80,A,0,2,2
Dermatology,1032080A0,1032,80,A,0,2,2
Dermatology,1033080A0,1033,80,A,0,3,3
Dermatology,1043080A0,1043,80,A,0,3,3
Dermatology,1046080A0,1046,80,A,0,2,2
Dermatology,1049080A0,1049,80,A,0,3,3
Dermatology,1062080A0,1062,80,A,0,5,5
Dermatology,1062080A1,1062,80,A,1,0,0
Dermatology,1067080A0,1067,80,A,0,1,1
Dermatology,1076080A0,1076,80,A,0,4,4
Dermatology,1089080A0,1089,80,A,0,3,3
Dermatology,1094080A0,1094,80,A,0,2,2
Dermatology,1104080A0,1104,80,A,0,8,8
Dermatology,1113080A0,1113,80,A,0,5,5
Dermatology,1116080A0,1116,80,A,0,3,3
Dermatology,1127080A0,1127,80,A,0,3,3
Dermatology,1147080A0,1147,80,A,0,2,2
Dermatology,1150080A0,1150,80,A,0,3,3
Dermatology,1160080A0,1160,80,A,0,3,3
Dermatology,1170080A0,1170,80,A,0,2,2
Dermatology,1203080A0,1203,80,A,0,5,5
Dermatology,1208080A0,1208,80,A,0,3,3
Dermatology,1217080A0,1217,80,A,0,2,2
Dermatology,1224080A0,1224,80,A,0,5,5
Dermatology,1242080A0,1242,80,A,0,3,3
Dermatology,1252080A0,1252,80,A,0,3,3
Dermatology,1257080A0,1257,80,A,0,3,3
Dermatology,1261080A0,1261,80,A,0,6,6
Dermatology,1293080A0,1293,80,A,0,5,5
Dermatology,1300080A0,1300,80,A,0,6,6
Dermatology,1328080A0,1328,80,A,0,5,5
Dermatology,1334080A0,1334,80,A,0,4,4
Dermatology,1353080A0,1353,80,A,0,5,5
Dermatology,1361080A0,1361,80,A,0,2,2
Dermatology,1365080A0,1365,80,A,0,3,3
Dermatology,1377080A0,1377,80,A,0,2,2
Dermatology,1380080A0,1380,80,A,0,1,1
Dermatology,1398080A0,1398,80,A,0,2,2
Dermatology,1426080A0,1426,80,A,0,5,5
Dermatology,1490080A0,1490,80,A,0,3,3
Dermatology,1492080A0,1492,80,A,0,4,4
Dermatology,1495080A0,1495,80,A,0,4,4
Dermatology,1511080A0,1511,80,A,0,3,3
Dermatology,1529080A0,1529,80,A,0,2,2
Dermatology,1537080A0,1537,80,A,0,3,3
Dermatology,1552080A0,1552,80,A,0,4,4
Dermatology,1588080A0,1588,80,A,0,3,3
Dermatology,1599080A0,1599,80,A,0,4,4
Dermatology,1608080A0,1608,80,A,0,3,3
Dermatology,1617080A0,1617,80,A,0,3,3
Dermatology,1628080A0,1628,80,A,0,4,4
Dermatology,1628080A1,1628,80,A,1,1,1
Dermatology,1630080A0,1630,80,A,0,5,5
Dermatology,1652080A0,1652,80,A,0,3,3
Dermatology,1677080A0,1677,80,A,0,4,4
Dermatology,1678080A0,1678,80,A,0,2,2
Dermatology,1680080A0,1680,80,A,0,3,3
Dermatology,1702080A0,1702,80,A,0,3,3
Dermatology,1714080A0,1714,80,A,0,3,3
Dermatology,1716080A0,1716,80,A,0,4,4
Dermatology,1722080A0,1722,80,A,0,1,1
Dermatology,1725080A0,1725,80,A,0,2,2
Dermatology,1732080A0,1732,80,A,0,3,3
Dermatology,1734080A0,1734,80,A,0,1,1
Dermatology,1737080A0,1737,80,A,0,2,2
Dermatology,1743080A0,1743,80,A,0,2,2
Dermatology,1779080A0,1779,80,A,0,1,1
Dermatology,1780080A0,1780,80,A,0,1,1
Dermatology,1780080A1,1780,80,A,1,2,2
Dermatology,1784080A0,1784,80,A,0,4,4
Dermatology,1800080A0,1800,80,A,0,2,2
Dermatology,1820080A0,1820,80,A,0,5,5
Dermatology,1837080A0,1837,80,A,0,1,1
Dermatology,1849080A0,1849,80,A,0,3,3
Dermatology,1900080A0,1900,80,A,0,4,4
Dermatology,1918080A0,1918,80,A,0,2,2
Dermatology,1956080A0,1956,80,A,0,3,3
Dermatology,1956080A1,1956,80,A,1,1,1
Dermatology,1962080A0,1962,80,A,0,2,2
Dermatology,1985080A0,1985,80,A,0,3,3
Dermatology,1994080A0,1994,80,A,0,3,3
Dermatology,2011080A0,2011,80,A,0,2,2
Dermatology,2070080A0,2070,80,A,0,3,3
Dermatology,2193080A0,2193,80,A,0,2,2
Dermatology,2247080A0,2247,80,A,0,4,4
Dermatology,2835080A0,2835,80,A,0,6,6
Dermatology,2919080A0,2919,80,A,0,2,2
Dermatology,2923080A0,2923,80,A,0,5,5
Dermatology,2973080A0,2973,80,A,0,3,3
Dermatology,2978080A0,2978,80,A,0,8,8
Dermatology,2980080A0,2980,80,A,0,2,2
Dermatology,3050080A0,3050,80,A,0,2,2
Dermatology,3057080A0,3057,80,A,0,2,2
Dermatology,3073080A0,3073,80,A,0,3,3
Dermatology,3099080A0,3099,80,A,0,2,2
Dermatology,3153080A0,3153,80,A,0,3,3
Dermatology,1018080C0,1018,80,C,0,3,3
Dermatology,1109080C0,1109,80,C,0,4,4
Dermatology,1187080C0,1187,80,C,0,2,2
Dermatology,1293080C0,1293,80,C,0,3,3
Dermatology,1328080C0,1328,80,C,0,2,2
Dermatology,1548080C0,1548,80,C,0,2,2
Dermatology,1566080C0,1566,80,C,0,2,2
Dermatology,1824080C0,1824,80,C,0,2,2
Dermatology,1844080C0,1844,80,C,0,2,2
Dermatology,1968080C0,1968,80,C,0,3,3
Dermatology,1968080C1,1968,80,C,1,1,1
Dermatology,2922080C0,2922,80,C,0,2,2
Dermatology,3200080C0,3200,80,C,0,2,2
Emergency Medicine,1033110A0,1033,110,A,0,18,18
Emergency Medicine,1049110A0,1049,110,A,0,8,8
Emergency Medicine,1127110A0,1127,110,A,0,7,7
Emergency Medicine,1257110A0,1257,110,A,0,11,11
Emergency Medicine,1484110A0,1484,110,A,0,11,11
Emergency Medicine,1921110A0,1921,110,A,0,7,7
Emergency Medicine,1957110A0,1957,110,A,0,8,7
Emergency Medicine,2727110A0,2727,110,A,0,6,6
Emergency Medicine,1007110C0,1007,110,C,0,8,8
Emergency Medicine,1015110C0,1015,110,C,0,16,16
Emergency Medicine,1018110C0,1018,110,C,0,8,8
Emergency Medicine,1022110C0,1022,110,C,0,10,10
Emergency Medicine,1024110C0,1024,110,C,0,13,13
Emergency Medicine,1041110C0,1041,110,C,0,10,10
Emergency Medicine,1043110C0,1043,110,C,0,6,6
Emergency Medicine,1046110C0,1046,110,C,0,12,12
Emergency Medicine,1062110C0,1062,110,C,0,12,12
Emergency Medicine,1067110C0,1067,110,C,0,15,15
Emergency Medicine,1077110C0,1077,110,C,0,14,14
Emergency Medicine,1089110C0,1089,110,C,0,12,10
Emergency Medicine,1094110C0,1094,110,C,0,12,12
Emergency Medicine,1099110C0,1099,110,C,0,12,12
Emergency Medicine,1101110C0,1101,110,C,0,15,15
Emergency Medicine,1102110C0,1102,110,C,0,6,6
Emergency Medicine,1107110C0,1107,110,C,0,14,14
Emergency Medicine,1109110C0,1109,110,C,0,10,10
Emergency Medicine,1113110C0,1113,110,C,0,18,18
Emergency Medicine,1116110C0,1116,110,C,0,10,10
Emergency Medicine,1127110C0,1127,110,C,0,9,9
Emergency Medicine,1131110C0,1131,110,C,0,11,11
Emergency Medicine,1150110C0,1150,110,C,0,12,12
Emergency Medicine,1160110C0,1160,110,C,0,16,16
Emergency Medicine,1175110C0,1175,110,C,0,10,10
Emergency Medicine,1187110C0,1187,110,C,0,17,17
Emergency Medicine,1203110C0,1203,110,C,0,8,8
Emergency Medicine,1217110C0,1217,110,C,0,10,10
Emergency Medicine,1221110C0,1221,110,C,0,15,15
Emergency Medicine,1224110C0,1224,110,C,0,10,10
Emergency Medicine,1232110C0,1232,110,C,0,7,7
Emergency Medicine,1236110C0,1236,110,C,0,8,8
Emergency Medicine,1242110C0,1242,110,C,0,11,11
Emergency Medicine,1252110C0,1252,110,C,0,10,10
Emergency Medicine,1256110C0,1256,110,C,0,11,11
Emergency Medicine,1265110C0,1265,110,C,0,15,15
Emergency Medicine,1286110C0,1286,110,C,0,12,12
Emergency Medicine,1293110C0,1293,110,C,0,14,14
Emergency Medicine,1295110C0,1295,110,C,0,14,14
Emergency Medicine,1295110C1,1295,110,C,1,12,12
Emergency Medicine,1300110C0,1300,110,C,0,14,14
Emergency Medicine,1314110C0,1314,110,C,0,13,13
Emergency Medicine,1315110C0,1315,110,C,0,8,8
Emergency Medicine,1320110C0,1320,110,C,0,8,8
Emergency Medicine,1328110C0,1328,110,C,0,8,8
Emergency Medicine,1329110C0,1329,110,C,0,11,11
Emergency Medicine,1335110C0,1335,110,C,0,9,9
Emergency Medicine,1343110C0,1343,110,C,0,10,10
Emergency Medicine,1353110C0,1353,110,C,0,12,12
Emergency Medicine,1376110C0,1376,110,C,0,7,7
Emergency Medicine,1380110C0,1380,110,C,0,9,9
Emergency Medicine,1394110C0,1394,110,C,0,7,7
Emergency Medicine,1397110C0,1397,110,C,0,9,7
Emergency Medicine,1398110C0,1398,110,C,0,6,6
Emergency Medicine,1414110C0,1414,110,C,0,10,10
Emergency Medicine,1420110C0,1420,110,C,0,4,4
Emergency Medicine,1426110C0,1426,110,C,0,13,13
Emergency Medicine,1428110C0,1428,110,C,0,11,11
Emergency Medicine,1429110C0,1429,110,C,0,10,9
Emergency Medicine,1467110C0,1467,110,C,0,10,10
Emergency Medicine,1470110C0,1470,110,C,0,12,12
Emergency Medicine,1473110C0,1473,110,C,0,4,4
Emergency Medicine,1490110C0,1490,110,C,0,12,8
Emergency Medicine,1492110C0,1492,110,C,0,11,11
Emergency Medicine,1511110C0,1511,110,C,0,12,12
Emergency Medicine,1516110C0,1516,110,C,0,10,10
Emergency Medicine,1527110C0,1527,110,C,0,14,14
Emergency Medicine,1529110C0,1529,110,C,0,8,8
Emergency Medicine,1537110C0,1537,110,C,0,10,10
Emergency Medicine,1541110C0,1541,110,C,0,9,7
Emergency Medicine,1542110C0,1542,110,C,0,7,7
Emergency Medicine,1548110C0,1548,110,C,0,12,12
Emergency Medicine,1553110C0,1553,110,C,0,13,13
Emergency Medicine,1566110C0,1566,110,C,0,12,12
Emergency Medicine,1580110C0,1580,110,C,0,14,14
Emergency Medicine,1599110C0,1599,110,C,0,10,10
Emergency Medicine,1605110C0,1605,110,C,0,8,8
Emergency Medicine,1608110C0,1608,110,C,0,9,9
Emergency Medicine,1617110C0,1617,110,C,0,8,3
Emergency Medicine,1628110C0,1628,110,C,0,9,9
Emergency Medicine,1630110C0,1630,110,C,0,12,9
Emergency Medicine,1631110C0,1631,110,C,0,10,10
Emergency Medicine,1646110C0,1646,110,C,0,12,12
Emergency Medicine,1648110C0,1648,110,C,0,8,8
Emergency Medicine,1652110C0,1652,110,C,0,16,16
Emergency Medicine,1674110C0,1674,110,C,0,11,11
Emergency Medicine,1677110C0,1677,110,C,0,12,12
Emergency Medicine,1680110C0,1680,110,C,0,6,6
Emergency Medicine,1681110C0,1681,110,C,0,10,10
Emergency Medicine,1702110C0,1702,110,C,0,11,11
Emergency Medicine,1705110C0,1705,110,C,0,8,8
Emergency Medicine,1710110C0,1710,110,C,0,8,8
Emergency Medicine,1714110C0,1714,110,C,0,8,8
Emergency Medicine,1725110C0,1725,110,C,0,10,10
Emergency Medicine,1732110C0,1732,110,C,0,8,8
Emergency Medicine,1737110C0,1737,110,C,0,9,9
Emergency Medicine,1743110C0,1743,110,C,0,10,10
Emergency Medicine,1779110C0,1779,110,C,0,6,6
Emergency Medicine,1784110C0,1784,110,C,0,8,8
Emergency Medicine,1800110C0,1800,110,C,0,8,8
Emergency Medicine,1802110C0,1802,110,C,0,9,9
Emergency Medicine,1820110C0,1820,110,C,0,12,12
Emergency Medicine,1822110C0,1822,110,C,0,9,9
Emergency Medicine,1824110C0,1824,110,C,0,8,5
Emergency Medicine,1837110C0,1837,110,C,0,7,7
Emergency Medicine,1848110C0,1848,110,C,0,8,8
Emergency Medicine,1849110C0,1849,110,C,0,15,15
Emergency Medicine,1898110C0,1898,110,C,0,11,11
Emergency Medicine,1900110C0,1900,110,C,0,10,10
Emergency Medicine,1915110C0,1915,110,C,0,10,10
Emergency Medicine,1937110C0,1937,110,C,0,13,13
Emergency Medicine,1956110C0,1956,110,C,0,11,11
Emergency Medicine,1962110C0,1962,110,C,0,10,10
Emergency Medicine,1963110C0,1963,110,C,0,9,9
Emergency Medicine,1978110C0,1978,110,C,0,14,13
Emergency Medicine,1985110C0,1985,110,C,0,9,9
Emergency Medicine,2011110C0,2011,110,C,0,8,8
Emergency Medicine,2028110C0,2028,110,C,0,8,8
Emergency Medicine,2070110C0,2070,110,C,0,14,14
Emergency Medicine,2077110C0,2077,110,C,0,10,10
Emergency Medicine,2101110C0,2101,110,C,0,6,6
Emergency Medicine,2247110C0,2247,110,C,0,12,12
Emergency Medicine,2835110C0,2835,110,C,0,19,19
Emergency Medicine,2919110C0,2919,110,C,0,9,9
Emergency Medicine,2923110C0,2923,110,C,0,12,12
Emergency Medicine,2978110C0,2978,110,C,0,14,14
Emergency Medicine,2980110C0,2980,110,C,0,9,9
Emergency Medicine,3050110C0,3050,110,C,0,12,12
Emergency Medicine,3057110C0,3057,110,C,0,12,8
Emergency Medicine,3099110C0,3099,110,C,0,12,10
Emergency Medicine,3172110C0,3172,110,C,0,18,18
Emergency Medicine,1957110P0,1957,110,P,0,6,6
Emergency Medicine,1957110R0,1957,110,R,0,4,4
Family Medicine,1001120C0,1001,120,C,0,6,6
Family Medicine,1005120C0,1005,120,C,0,6,5
Family Medicine,1006120C0,1006,120,C,0,2,2
Family Medicine,1011120C0,1011,120,C,0,8,8
Family Medicine,1012120C0,1012,120,C,0,8,8
Family Medicine,1015120C0,1015,120,C,0,8,8
Family Medicine,1018120C0,1018,120,C,0,3,3
Family Medicine,1020120C0,1020,120,C,0,2,2
Family Medicine,1021120C0,1021,120,C,0,7,7
Family Medicine,1022120C0,1022,120,C,0,10,8
Family Medicine,1023120C0,1023,120,C,0,8,8
Family Medicine,1024120C0,1024,120,C,0,4,4
Family Medicine,1024120C1,1024,120,C,1,2,2
Family Medicine,1024120C2,1024,120,C,2,4,4
Family Medicine,1027120C0,1027,120,C,0,8,8
Family Medicine,1028120C0,1028,120,C,0,5,5
Family Medicine,1032120C0,1032,120,C,0,5,2
Family Medicine,1040120C0,1040,120,C,0,7,7
Family Medicine,1043120C0,1043,120,C,0,9,9
Family Medicine,1046120C0,1046,120,C,0,10,10
Family Medicine,1046120C2,1046,120,C,2,1,1
Family Medicine,1047120C0,1047,120,C,0,8,8
Family Medicine,1049120C0,1049,120,C,0,7,7
Family Medicine,1062120C0,1062,120,C,0,13,13
Family Medicine,1065120C0,1065,120,C,0,12,12
Family Medicine,1067120C0,1067,120,C,0,11,11
Family Medicine,1068120C0,1068,120,C,0,14,14
Family Medicine,1073120C0,1073,120,C,0,5,5
Family Medicine,1074120C0,1074,120,C,0,8,8
Family Medicine,1076120C0,1076,120,C,0,3,2
Family Medicine,1076120C1,1076,120,C,1,6,6
Family Medicine,1076120C2,1076,120,C,2,6,6
Family Medicine,1076120C3,1076,120,C,3,5,4
Family Medicine,1087120C0,1087,120,C,0,5,5
Family Medicine,1091120C0,1091,120,C,0,7,5
Family Medicine,1094120C0,1094,120,C,0,6,6
Family Medicine,1095120C0,1095,120,C,0,5,5
Family Medicine,1099120C0,1099,120,C,0,4,2
Family Medicine,1100120C0,1100,120,C,0,6,4
Family Medicine,1102120C0,1102,120,C,0,16,16
Family Medicine,1104120C0,1104,120,C,0,8,8
Family Medicine,1109120C0,1109,120,C,0,8,5
Family Medicine,1112120C0,1112,120,C,0,6,6
Family Medicine,1113120C0,1113,120,C,0,8,8
Family Medicine,1116120C0,1116,120,C,0,8,8
Family Medicine,1118120C0,1118,120,C,0,9,9
Family Medicine,1119120C0,1119,120,C,0,5,5
Family Medicine,1120120C0,1120,120,C,0,7,7
Family Medicine,1121120C0,1121,120,C,0,8,8
Family Medicine,1131120C0,1131,120,C,0,4,4
Family Medicine,1135120C0,1135,120,C,0,4,4
Family Medicine,1135120C1,1135,120,C,1,2,2
Family Medicine,1139120C0,1139,120,C,0,6,2
Family Medicine,1140120C0,1140,120,C,0,4,4
Family Medicine,1143120C0,1143,120,C,0,6,6
Family Medicine,1144120C0,1144,120,C,0,6,6
Family Medicine,1150120C1,1150,120,C,1,5,5
Family Medicine,1159120C0,1159,120,C,0,4,2
Family Medicine,1167120C0,1167,120,C,0,4,3
Family Medicine,1170120C0,1170,120,C,0,12,12
Family Medicine,1173120C0,1173,120,C,0,7,7
Family Medicine,1176120C0,1176,120,C,0,8,8
Family Medicine,1177120C0,1177,120,C,0,8,4
Family Medicine,1178120C0,1178,120,C,0,6,4
Family Medicine,1187120C0,1187,120,C,0,4,4
Family Medicine,1189120C0,1189,120,C,0,7,7
Family Medicine,1192120C0,1192,120,C,0,8,8
Family Medicine,1193120C0,1193,120,C,0,8,8
Family Medicine,1194120C0,1194,120,C,0,8,5
Family Medicine,1196120C0,1196,120,C,0,7,1
Family Medicine,1199120C0,1199,120,C,0,9,9
Family Medicine,1201120C0,1201,120,C,0,6,6
Family Medicine,1203120C0,1203,120,C,0,6,6
Family Medicine,1203120C1,1203,120,C,1,1,0
Family Medicine,1208120C0,1208,120,C,0,7,7
Family Medicine,1213120C0,1213,120,C,0,8,8
Family Medicine,1214120C0,1214,120,C,0,3,1
Family Medicine,1215120C0,1215,120,C,0,6,6
Family Medicine,1216120C0,1216,120,C,0,6,6
Family Medicine,1217120C0,1217,120,C,0,5,5
Family Medicine,1217120C1,1217,120,C,1,4,4
Family Medicine,1218120C0,1218,120,C,0,6,6
Family Medicine,1222120C0,1222,120,C,0,5,5
Family Medicine,1223120C0,1223,120,C,0,5,5
Family Medicine,1224120C0,1224,120,C,0,6,6
Family Medicine,1224120C1,1224,120,C,1,4,2
Family Medicine,1225120C0,1225,120,C,0,8,8
Family Medicine,1226120C0,1226,120,C,0,2,2
Family Medicine,1231120C0,1231,120,C,0,7,6
Family Medicine,1232120C0,1232,120,C,0,7,7
Family Medicine,1232120C1,1232,120,C,1,2,1
Family Medicine,1235120C0,1235,120,C,0,5,5
Family Medicine,1236120C0,1236,120,C,0,7,7
Family Medicine,1240120C0,1240,120,C,0,7,2
Family Medicine,1252120C0,1252,120,C,0,8,8
Family Medicine,1257120C0,1257,120,C,0,6,6
Family Medicine,1268120C0,1268,120,C,0,8,8
Family Medicine,1273120C0,1273,120,C,0,5,5
Family Medicine,1277120C0,1277,120,C,0,2,1
Family Medicine,1278120C0,1278,120,C,0,4,2
Family Medicine,1283120C0,1283,120,C,0,8,8
Family Medicine,1293120C0,1293,120,C,0,5,5
Family Medicine,1293120C1,1293,120,C,1,4,4
Family Medicine,1297120C0,1297,120,C,0,1,1
